Sunday,left on shelf,amount decrease,Monday,left on shelf,amount decrease,Tuesday,left on shelf,amount decrease,Wednesday,left on shelf,amount decrease,Thursday,left on shelf,amount decrease,Friday,left on shelf,amount decrease,Saturday,left on shelf,amount decrease
dawg,0.6,0.45,,,,Strawberry,0.3,0.8,straw,0.9,0.4,straw,0.3,0.6,Wildberry,0.5,0.1,wild,0.3,0.2
straw,0.1,0.2,,,,dawg; Orange,0.4,0.6; 0.6,orange sh,0,0.4,maf,0.3,0.7,maf,0.9,0.8,maf,0.4,0.5
vanilla,0.2,0.4,,,,v; mint; Peppermint Stick,0.9,0.2; 1; 0.1,pepper,0.5,0.4,pepper; spu,0.9,0.5; 0.1,spu,0.6,0.3,spu,0.1,0.5
scbc; rocky,0.9,0.9; 0.1,,,,rocky; CCCD,0.8,0.9; 0.2,cccd; cc,0,0.8; 1,butter,0.8,0.2,butter p,0.5,0.3,butter p,0.3,0.2
choc,0.5,0.3,,,,Chocolate,0.9,0.6,choc,0.4,0.5,choc,0,0.4,straw,0.8,0.5,straw,0.5,0.3
praline(mys),0.9,0.3,,,,Praline (mys),0.1,0.8,pra; tcp (mys??),0.9,0.1; 0.1,tcp (mys),0.3,0.6,tcp (mys),0.05,0.25,tcp; huckle (mys),0.9,0.05; 0.1
,,,,,,,,,,,,,,,,,,,,
,,3.9,,,,,two days:,8.25,,,4.7,,,4.2,,,3.35,,,3.95
,,,,,,,,,,,,,,,,,,,,
2/2,left on shelf,amount decreased,2/3,left on shelf,amount decreased,2/4,left on shelf,amount decreased,2/5,left on shelf,amount decreased,2/6,left on shelf,amount decreased,2/7,left on shelf,amount decreased,2/8,left on shelf,amount decreased
v; pistachio,0.7,0.2; 0.3,pista,0.1,0.6,pista; huckle,0.8,0.1; 0.2,Huckle,0.02,0.78,huckle,0.1,0.92,huckle,0.1,1,huckle; dawg,0.9,0.1; 0.1
cccd; rocky,0.2,0.1; 0.8,rocky; choc,0.6,0.2; 0.6,choc,0.6,1,Choc,0.7,0.9,choc; pepper,1,0.7; 0,peppermint,0.7,0.3,pepper,0.5,0.2
wild,0.9,0.4,wild,0.7,0.2,dawg; salted c,0.7,0.9; 0.3,salted c,0.3,0.4,salted c; spu,0.9,0.3; 0.1,spu,0,0.9,straw,0.9,0.1
maf; dawg,0.3,0.4; 0.7,dawg,0.9,0.4,wild,0.5,0.2,Wild,0.05,0.45,wildberry,0.8,0.25,wild,0.6,0.2,wild,0.6,0
spu; vanilla,0.8,0.1; 0.2,vanilla,0.4,0.4,vanilla,0.7,0.7,Van,0.9,0.8,vanilla,0.1,0.8,vanilla,0.6,0.5,Vanilla,0.2,0.4
butter,0.9,0.4,butter,0.6,0.3,butter pecan,0.1,0.5,BP,0.8,0.3,butter p,0.4,0.4,butter p,0.9,0.5,butter p,0.9,0
straw; mint,0.7,0.5; 0.3,mint,0.6,1.1,mint; straw ch,0,0.6; 1,Straw,0.3,0.7,straw; cccd,0.6,0.3; 0.4,cccd,0.7,0.9,cc,0.3,0.4
huckle (mys),0.1,0.8,huckle (mys),0,0.1,cc,0.3,0.7,cc; TCP,0.9,0.3; 0.1,tcp,0.6,0.3,tcp,0.2,0.4,tcp; orange,0.8,0.2; 0.2
,,,,,,,,,,,,,,,,,,,,
,,5.2,,,3.9,,,6.2,,,4.73,,,4.47,,,4.7,,,1.7
,,,,,,,,,,,,,,,,,,,,
2/9,left on shelf,amount decreased,2/10,left on shelf,amount decreased,2/11,left on shelf,amount decreased,2/12,left on shelf,amount decreased,2/13,left on shelf,amount decreased,2/14,left on shelf,amount decreased,2/15,left on shelf,amount decreased
dawg,0.2,0.7,dawg,0,1.2,dawg,0.9,1.1,dawg,0.5,0.4,dawg; choc,0.9,0.5; 0.1,choc,0.7,0.2,CLOSED,,
pepper,0.2,0.3,straw ch,0.2,1.1,straw ch; rocky road,0.3,0.2; 0.7,rocky; straw ch,0,0.3; 1,straw ch,0.7,0.3,butter p,0.3,0.3,,,
straw ch,0.3,0.6,cc,0.02,0.42,cc; cccd,0.6,0.02; 0.4,cccd; mcc,0.8,0.6; 0.2,mint,0.4,0.4,mint,0.9,0.5,,,
wildberry,0.5,0.1,wildberry,0.15,0.35,wild; pistachio,0.7,0.15; 0.3,pistachio,0.3,0.4,pist; spu,0.7,0.3; 0.3,spu,0.5,0.2,,,
vanilla; fv,0.9,0.2; 0.1,fv,0.6,0.3,fv; vanilla,1,0.6; 0,van,0.6,0.4,vanilla,0.1,0.5,vanilla,0.7,0.4,,,
butter,0.6,0.3,Butter,0.3,0.3,butter,0.2,0.1,butter,0.9,0.3,butter p,0.6,0.3,straw ch; cbp (mys),1,0.7; 0,,,
cc,0.5,0.8,pepper; raspberry,0.9,0.2; 0.1,raspberry,0.5,0.4,raspberry,0.2,0.3,rasp; huckle,0.3,0.2; 0.7,huckle,0,0.3,,,
